Rate	Number of Leaves	n	WGD	Method	Distance
0.05	20	2	High WGD	Euclidean NJ	0.0468374068687127
0.05	20	2	High WGD	Hamming Min. Ev.	0.0468374068687127
0.05	20	2	High WGD	Hamming NJ	0.069887253835526
0.05	20	2	High WGD	MEDICC2	0.0
0.05	20	2	Low WGD	MEDALT	0.43568781359427
0.05	20	2	Low WGD	Euclidean Min. Ev.	0.119672171615362
0.05	20	2	Low WGD	Euclidean NJ	0.111977467950181
0.05	20	2	Low WGD	Hamming Min. Ev.	0.119672171615362
0.05	20	2	Low WGD	Hamming NJ	0.0306776195089859
0.05	20	2	Low WGD	MEDICC2	0.0
0.05	20	2	No WGD	MEDALT	0.443675639201562
0.05	20	2	No WGD	Euclidean Min. Ev.	0.0959083594912289
0.05	20	2	No WGD	Euclidean NJ	0.0959083594912289
0.05	20	2	No WGD	Hamming Min. Ev.	0.0959083594912289
0.05	20	2	No WGD	Hamming NJ	0.151636115273741
0.05	20	2	No WGD	MEDICC2	0.0
0.05	20	3	High WGD	MEDALT	0.704154526875839
0.05	20	3	High WGD	Euclidean Min. Ev.	0.0639296238267428
0.05	20	3	High WGD	Euclidean NJ	0.0639296238267428
0.05	20	3	High WGD	Hamming Min. Ev.	0.0639296238267428
0.05	20	3	High WGD	Hamming NJ	0.282834928949772
0.05	20	3	High WGD	MEDICC2	0.0
0.05	20	3	Low WGD	MEDALT	0.707227424639554
0.05	20	3	Low WGD	Euclidean Min. Ev.	0.237818183930438
0.05	20	3	Low WGD	Euclidean NJ	0.237818183930438
0.05	20	3	Low WGD	Hamming Min. Ev.	0.237818183930438
0.05	20	3	Low WGD	Hamming NJ	0.246573765714321
0.05	20	3	Low WGD	MEDICC2	0.0375441478441468
0.05	20	3	No WGD	MEDALT	0.611164773355172
0.05	20	3	No WGD	Euclidean Min. Ev.	0.039619176564349
0.05	20	3	No WGD	Euclidean NJ	0.0793729118074831
0.05	20	3	No WGD	Hamming Min. Ev.	0.039619176564349
0.05	20	3	No WGD	Hamming NJ	0.0
0.05	20	3	No WGD	MEDICC2	0.0
0.05	20	4	High WGD	MEDALT	0.686177939058469
0.05	20	4	High WGD	Euclidean Min. Ev.	0.318118073635333
0.05	20	4	High WGD	Euclidean NJ	0.318118073635333
0.05	20	4	High WGD	Hamming Min. Ev.	0.318118073635333
0.05	20	4	High WGD	Hamming NJ	0.22225504095784
0.05	20	4	High WGD	MEDICC2	0.14065454256608
0.05	20	4	Low WGD	MEDALT	0.66798100272654
0.05	20	4	Low WGD	Euclidean Min. Ev.	0.095385210688506
0.05	20	4	Low WGD	Euclidean NJ	0.140608511454545
0.05	20	4	Low WGD	Hamming Min. Ev.	0.095385210688506
0.05	20	4	Low WGD	Hamming NJ	0.137218496514754
0.05	20	4	Low WGD	MEDICC2	0.0688288215024391
0.05	20	4	No WGD	MEDALT	0.532412016199364
0.05	20	4	No WGD	Euclidean Min. Ev.	0.112977281697661
0.05	20	4	No WGD	Euclidean NJ	0.133867235077169
0.05	20	4	No WGD	Hamming Min. Ev.	0.112977281697661
0.05	20	4	No WGD	Hamming NJ	0.0
0.05	20	4	No WGD	MEDICC2	0.0
0.05	20	5	High WGD	MEDALT	0.729193863295575
0.05	20	5	High WGD	Euclidean Min. Ev.	0.20065100130663
0.05	20	5	High WGD	Euclidean NJ	0.20065100130663
0.05	20	5	High WGD	Hamming Min. Ev.	0.20065100130663
0.05	20	5	High WGD	Hamming NJ	0.111665086020814
0.05	20	5	High WGD	MEDICC2	0.034924860659023
0.05	20	5	Low WGD	MEDALT	0.811923840853433
0.05	20	5	Low WGD	Euclidean Min. Ev.	0.196833014672168
0.05	20	5	Low WGD	Euclidean NJ	0.196833014672168
0.05	20	5	Low WGD	Hamming Min. Ev.	0.196833014672168
0.05	20	5	Low WGD	Hamming NJ	0.07880382273117
0.05	20	5	Low WGD	MEDICC2	0.0464069891528345
0.05	20	5	No WGD	MEDALT	0.779609194722128
0.05	20	5	No WGD	Euclidean Min. Ev.	0.078141276707783
0.05	20	5	No WGD	Euclidean NJ	0.0904755393098583
0.05	20	5	No WGD	Hamming Min. Ev.	0.078141276707783
0.05	20	5	No WGD	Hamming NJ	0.153610882006144
0.05	20	5	No WGD	MEDICC2	0.0470156781934179
0.05	20	6	High WGD	MEDALT	0.682109129907698
0.05	20	6	High WGD	Euclidean Min. Ev.	0.181060195826217
0.05	20	6	High WGD	Euclidean NJ	0.131603309461754
0.05	20	6	High WGD	Hamming Min. Ev.	0.181060195826217
0.05	20	6	High WGD	Hamming NJ	0.374444036619659
0.05	20	6	High WGD	MEDICC2	0.0774180667857054
0.05	20	6	Low WGD	MEDALT	0.635963765076643
0.05	20	6	Low WGD	Euclidean Min. Ev.	0.0878852753666658
0.05	20	6	Low WGD	Euclidean NJ	0.0999804524585461
0.05	20	6	Low WGD	Hamming Min. Ev.	0.0878852753666658
0.05	20	6	Low WGD	Hamming NJ	0.261497790105268
0.05	20	6	Low WGD	MEDICC2	0.0808601729049949
0.05	20	6	No WGD	MEDALT	0.832405978016223
0.05	20	6	No WGD	Euclidean Min. Ev.	0.0
0.05	20	6	No WGD	Euclidean NJ	0.0319211452802839
0.05	20	6	No WGD	Hamming Min. Ev.	0.0
0.05	20	6	No WGD	Hamming NJ	0.115329249957569
0.05	20	6	No WGD	MEDICC2	0.0
0.05	20	7	High WGD	MEDALT	0.474691003007669
0.05	20	7	High WGD	Euclidean Min. Ev.	0.141230317931549
0.05	20	7	High WGD	Euclidean NJ	0.141230317931549
0.05	20	7	High WGD	Hamming Min. Ev.	0.141230317931549
0.05	20	7	High WGD	Hamming NJ	0.167810442401587
0.05	20	7	High WGD	MEDICC2	0.0559838539745879
0.05	20	7	Low WGD	MEDALT	0.667862702773284
0.05	20	7	Low WGD	Euclidean Min. Ev.	0.0940752079389768
0.05	20	7	Low WGD	Euclidean NJ	0.0940752079389768
0.05	20	7	Low WGD	Hamming Min. Ev.	0.0940752079389768
0.05	20	7	Low WGD	Hamming NJ	0.099522942481782
0.05	20	7	Low WGD	MEDICC2	0.0882336045630739
0.05	20	7	No WGD	MEDALT	0.753816051175245
0.05	20	7	No WGD	Euclidean Min. Ev.	0.115505355549857
0.05	20	7	No WGD	Euclidean NJ	0.115505355549857
0.05	20	7	No WGD	Hamming Min. Ev.	0.115505355549857
0.05	20	7	No WGD	Hamming NJ	0.11552463362817
0.05	20	7	No WGD	MEDICC2	0.0771384241495115
0.05	20	8	High WGD	MEDALT	0.76647864178649
0.05	20	8	High WGD	Euclidean Min. Ev.	0.0584664538244507
0.05	20	8	High WGD	Euclidean NJ	0.0584664538244507
0.05	20	8	High WGD	Hamming Min. Ev.	0.0584664538244507
0.05	20	8	High WGD	Hamming NJ	0.143828326790225
0.05	20	8	High WGD	MEDICC2	0.0767498071843845
0.05	20	8	Low WGD	MEDALT	0.709239181833249
0.05	20	8	Low WGD	Euclidean Min. Ev.	0.0880459374092148
0.05	20	8	Low WGD	Euclidean NJ	0.136783109410412
0.05	20	8	Low WGD	Hamming Min. Ev.	0.0880459374092148
0.05	20	8	Low WGD	Hamming NJ	0.0870577785281037
0.05	20	8	Low WGD	MEDICC2	0.0398664913458249
0.05	20	8	No WGD	MEDALT	0.671448894344234
0.05	20	8	No WGD	Euclidean Min. Ev.	0.0824614397827633
0.05	20	8	No WGD	Euclidean NJ	0.0824614397827633
0.05	20	8	No WGD	Hamming Min. Ev.	0.0824614397827633
0.05	20	8	No WGD	Hamming NJ	0.0742823412551357
0.05	20	8	No WGD	MEDICC2	0.0
0.05	20	9	High WGD	MEDALT	0.6429060579434
0.05	20	9	High WGD	Euclidean Min. Ev.	0.0
0.05	20	9	High WGD	Euclidean NJ	0.0787415907823242
0.05	20	9	High WGD	Hamming Min. Ev.	0.0
0.05	20	9	High WGD	Hamming NJ	0.114096389414587
0.05	20	9	High WGD	MEDICC2	0.0787415907823242
0.05	20	9	Low WGD	MEDALT	0.508441815777531
0.05	20	9	Low WGD	Euclidean Min. Ev.	0.245205556306841
0.05	20	9	Low WGD	Euclidean NJ	0.262937604297806
0.05	20	9	Low WGD	Hamming Min. Ev.	0.245205556306841
0.05	20	9	Low WGD	Hamming NJ	0.0869164757891636
0.05	20	9	Low WGD	MEDICC2	0.063359072073932
0.05	20	9	No WGD	MEDALT	0.793858179781763
0.05	20	9	No WGD	Euclidean Min. Ev.	0.153399584811135
0.05	20	9	No WGD	Euclidean NJ	0.14959811646821
0.05	20	9	No WGD	Hamming Min. Ev.	0.153399584811135
0.05	20	9	No WGD	Hamming NJ	0.125598236236892
0.05	20	9	No WGD	MEDICC2	0.0
0.05	20	10	High WGD	MEDALT	0.889403577127168
0.05	20	10	High WGD	Euclidean Min. Ev.	0.105112161830534
0.05	20	10	High WGD	Euclidean NJ	0.105112161830534
0.05	20	10	High WGD	Hamming Min. Ev.	0.105112161830534
0.05	20	10	High WGD	Hamming NJ	0.0785216116359068
0.05	20	10	High WGD	MEDICC2	0.0
0.05	20	10	Low WGD	MEDALT	0.895013985222144
0.05	20	10	Low WGD	Euclidean Min. Ev.	0.0934474953137976
0.05	20	10	Low WGD	Euclidean NJ	0.0832944383678954
0.05	20	10	Low WGD	Hamming Min. Ev.	0.0934474953137976
0.05	20	10	Low WGD	Hamming NJ	0.113523866109793
0.05	20	10	Low WGD	MEDICC2	0.0
0.05	20	10	No WGD	MEDALT	0.527548216263926
0.05	20	10	No WGD	Euclidean Min. Ev.	0.362906166834871
0.05	20	10	No WGD	Euclidean NJ	0.40067564143165
0.05	20	10	No WGD	Hamming Min. Ev.	0.362906166834871
0.05	20	10	No WGD	Hamming NJ	0.0317823213407324
0.05	20	10	No WGD	MEDICC2	0.256104932116577
0.05	20	11	High WGD	MEDALT	0.748897010436457
0.05	20	11	High WGD	Euclidean Min. Ev.	0.158059563393605
0.05	20	11	High WGD	Euclidean NJ	0.193554970194511
0.05	20	11	High WGD	Hamming Min. Ev.	0.158059563393605
0.05	20	11	High WGD	Hamming NJ	0.128605974549669
0.05	20	11	High WGD	MEDICC2	0.118488044170856
0.05	20	11	Low WGD	MEDALT	0.467910598402621
0.05	20	11	Low WGD	Euclidean Min. Ev.	0.0410397893417462
0.05	20	11	Low WGD	Euclidean NJ	0.0410397893417462
0.05	20	11	Low WGD	Hamming Min. Ev.	0.0410397893417462
0.05	20	11	Low WGD	Hamming NJ	0.0
0.05	20	11	Low WGD	MEDICC2	0.0
0.05	20	11	No WGD	MEDALT	0.784287917498931
0.05	20	11	No WGD	Euclidean Min. Ev.	0.106485629803236
0.05	20	11	No WGD	Euclidean NJ	0.113143149635412
0.05	20	11	No WGD	Hamming Min. Ev.	0.106485629803236
0.05	20	11	No WGD	Hamming NJ	0.0875939937621321
0.05	20	11	No WGD	MEDICC2	0.0338829464816703
0.05	20	12	High WGD	MEDALT	0.898965458738299
0.05	20	12	High WGD	Euclidean Min. Ev.	0.161036048761837
0.05	20	12	High WGD	Euclidean NJ	0.161036048761837
0.05	20	12	High WGD	Hamming Min. Ev.	0.161036048761837
0.05	20	12	High WGD	Hamming NJ	0.0833418789571435
0.05	20	12	High WGD	MEDICC2	0.0
0.05	20	12	Low WGD	MEDALT	0.769703052188412
0.05	20	12	Low WGD	Euclidean Min. Ev.	0.184659698866502
0.05	20	12	Low WGD	Euclidean NJ	0.184659698866502
0.05	20	12	Low WGD	Hamming Min. Ev.	0.184659698866502
0.05	20	12	Low WGD	Hamming NJ	0.165677578855662
0.05	20	12	Low WGD	MEDICC2	0.088513871534862
0.05	20	12	No WGD	MEDALT	0.57915142730033
0.05	20	12	No WGD	Euclidean Min. Ev.	0.0292784927657605
0.05	20	12	No WGD	Euclidean NJ	0.110979688606798
0.05	20	12	No WGD	Hamming Min. Ev.	0.0292784927657605
0.05	20	12	No WGD	Hamming NJ	0.0699182904136392
0.05	20	12	No WGD	MEDICC2	0.108340358133366
0.05	20	13	High WGD	MEDALT	0.751989535304873
0.05	20	13	High WGD	Euclidean Min. Ev.	0.154106585352338
0.05	20	13	High WGD	Euclidean NJ	0.187812469406547
0.05	20	13	High WGD	Hamming Min. Ev.	0.154106585352338
0.05	20	13	High WGD	Hamming NJ	0.267697943759871
0.05	20	13	High WGD	MEDICC2	0.050631077413576
0.05	20	13	Low WGD	MEDALT	0.454292686220026
0.05	20	13	Low WGD	Euclidean Min. Ev.	0.188342145873048
0.05	20	13	Low WGD	Euclidean NJ	0.137809616451485
0.05	20	13	Low WGD	Hamming Min. Ev.	0.188342145873048
0.05	20	13	Low WGD	Hamming NJ	0.19716754258065
0.05	20	13	Low WGD	MEDICC2	0.0598636121012781
0.05	20	13	No WGD	MEDALT	0.560761512258403
0.05	20	13	No WGD	Euclidean Min. Ev.	0.131714108631572
0.05	20	13	No WGD	Euclidean NJ	0.0735781623219516
0.05	20	13	No WGD	Hamming Min. Ev.	0.131714108631572
0.05	20	13	No WGD	Hamming NJ	0.170748311536973
0.05	20	13	No WGD	MEDICC2	0.0735781623219516
0.05	20	14	High WGD	MEDALT	0.657951477105518
0.05	20	14	High WGD	Euclidean Min. Ev.	0.161655295155815
0.05	20	14	High WGD	Euclidean NJ	0.161655295155815
0.05	20	14	High WGD	Hamming Min. Ev.	0.161655295155815
0.05	20	14	High WGD	Hamming NJ	0.148394819632429
0.05	20	14	High WGD	MEDICC2	0.112905691539823
0.05	20	14	Low WGD	MEDALT	0.911506079600833
0.05	20	14	Low WGD	Euclidean Min. Ev.	0.119803416024599
0.05	20	14	Low WGD	Euclidean NJ	0.0808320493928451
0.05	20	14	Low WGD	Hamming Min. Ev.	0.119803416024599
0.05	20	14	Low WGD	Hamming NJ	0.0959780763949565
0.05	20	14	Low WGD	MEDICC2	0.0
0.05	20	14	No WGD	MEDALT	0.709258386478775
0.05	20	14	No WGD	Euclidean Min. Ev.	0.207122040891347
0.05	20	14	No WGD	Euclidean NJ	0.172050753765713
0.05	20	14	No WGD	Hamming Min. Ev.	0.207122040891347
0.05	20	14	No WGD	Hamming NJ	0.203970117976351
0.05	20	14	No WGD	MEDICC2	0.0666561678913114
0.05	20	15	High WGD	MEDALT	0.673047418207188
0.05	20	15	High WGD	Euclidean Min. Ev.	0.2720133344177
0.05	20	15	High WGD	Euclidean NJ	0.227296305791406
0.05	20	15	High WGD	Hamming Min. Ev.	0.2720133344177
0.05	20	15	High WGD	Hamming NJ	0.36099689585153
0.05	20	15	High WGD	MEDICC2	0.0798688746471129
0.05	20	15	Low WGD	MEDALT	0.671014702850149
0.05	20	15	Low WGD	Euclidean Min. Ev.	0.157262607649973
0.05	20	15	Low WGD	Euclidean NJ	0.115589523205231
0.05	20	15	Low WGD	Hamming Min. Ev.	0.157262607649973
0.05	20	15	Low WGD	Hamming NJ	0.0602689588212618
0.05	20	15	Low WGD	MEDICC2	0.0
0.05	20	15	No WGD	MEDALT	0.756946039181665
0.05	20	15	No WGD	Euclidean Min. Ev.	0.107529047668638
0.05	20	15	No WGD	Euclidean NJ	0.107529047668638
0.05	20	15	No WGD	Hamming Min. Ev.	0.107529047668638
0.05	20	15	No WGD	Hamming NJ	0.174318952073912
0.05	20	15	No WGD	MEDICC2	0.0719101810915389
0.05	20	16	High WGD	MEDALT	0.830475089873453
0.05	20	16	High WGD	Euclidean Min. Ev.	0.176164775971731
0.05	20	16	High WGD	Euclidean NJ	0.223360522855231
0.05	20	16	High WGD	Hamming Min. Ev.	0.176164775971731
0.05	20	16	High WGD	Hamming NJ	0.276899402958257
0.05	20	16	High WGD	MEDICC2	0.219610666025342
0.05	20	16	Low WGD	MEDALT	0.740022259580536
0.05	20	16	Low WGD	Euclidean Min. Ev.	0.315967957470961
0.05	20	16	Low WGD	Euclidean NJ	0.358087711336432
0.05	20	16	Low WGD	Hamming Min. Ev.	0.315967957470961
0.05	20	16	Low WGD	Hamming NJ	0.243032303622046
0.05	20	16	Low WGD	MEDICC2	0.0651182563366093
0.05	20	16	No WGD	MEDALT	0.732655194450792
0.05	20	16	No WGD	Euclidean Min. Ev.	0.173302979907263
0.05	20	16	No WGD	Euclidean NJ	0.173302979907263
0.05	20	16	No WGD	Hamming Min. Ev.	0.173302979907263
0.05	20	16	No WGD	Hamming NJ	0.153407522036187
0.05	20	16	No WGD	MEDICC2	0.0523480395846481
0.05	20	17	High WGD	MEDALT	0.660688056452817
0.05	20	17	High WGD	Euclidean Min. Ev.	0.175818975978236
0.05	20	17	High WGD	Euclidean NJ	0.12725012644599
0.05	20	17	High WGD	Hamming Min. Ev.	0.175818975978236
0.05	20	17	High WGD	Hamming NJ	0.0556993629352858
0.05	20	17	High WGD	MEDICC2	0.100651983562991
0.05	20	17	Low WGD	MEDALT	0.664001690475494
0.05	20	17	Low WGD	Euclidean Min. Ev.	0.277893676807408
0.05	20	17	Low WGD	Euclidean NJ	0.277893676807408
0.05	20	17	Low WGD	Hamming Min. Ev.	0.277893676807408
0.05	20	17	Low WGD	Hamming NJ	0.102652077278613
0.05	20	17	Low WGD	MEDICC2	0.143048817870561
0.05	20	17	No WGD	MEDALT	0.566361722875486
0.05	20	17	No WGD	Euclidean Min. Ev.	0.0765308193891719
0.05	20	17	No WGD	Euclidean NJ	0.0765308193891719
0.05	20	17	No WGD	Hamming Min. Ev.	0.0765308193891719
0.05	20	17	No WGD	Hamming NJ	0.10674664790806
0.05	20	17	No WGD	MEDICC2	0.0
0.05	20	18	High WGD	MEDALT	0.581686407393914
0.05	20	18	High WGD	Euclidean Min. Ev.	0.141069851305033
0.05	20	18	High WGD	Euclidean NJ	0.142911218798429
0.05	20	18	High WGD	Hamming Min. Ev.	0.141069851305033
0.05	20	18	High WGD	Hamming NJ	0.312443978750814
0.05	20	18	High WGD	MEDICC2	0.0
0.05	20	18	Low WGD	MEDALT	1.0
0.05	20	18	Low WGD	Euclidean Min. Ev.	0.192310257435846
0.05	20	18	Low WGD	Euclidean NJ	0.149338490490204
0.05	20	18	Low WGD	Hamming Min. Ev.	0.192310257435846
0.05	20	18	Low WGD	Hamming NJ	0.070921871026642
0.05	20	18	Low WGD	MEDICC2	0.0962860431981011
0.05	20	18	No WGD	MEDALT	0.640865613257931
0.05	20	18	No WGD	Euclidean Min. Ev.	0.153239677425427
0.05	20	18	No WGD	Euclidean NJ	0.184618754456137
0.05	20	18	No WGD	Hamming Min. Ev.	0.153239677425427
0.05	20	18	No WGD	Hamming NJ	0.0707589398699447
0.05	20	18	No WGD	MEDICC2	0.122817238575846
0.05	20	19	High WGD	MEDALT	0.661239471913561
0.05	20	19	High WGD	Euclidean Min. Ev.	0.0522462204684756
0.05	20	19	High WGD	Euclidean NJ	0.0
0.05	20	19	High WGD	Hamming Min. Ev.	0.0522462204684756
0.05	20	19	High WGD	Hamming NJ	0.168633983744272
0.05	20	19	High WGD	MEDICC2	0.041862373715952
0.05	20	19	Low WGD	MEDALT	0.7131172006039
0.05	20	19	Low WGD	Euclidean Min. Ev.	0.212533250452085
0.05	20	19	Low WGD	Euclidean NJ	0.212533250452085
0.05	20	19	Low WGD	Hamming Min. Ev.	0.212533250452085
0.05	20	19	Low WGD	Hamming NJ	0.0878609499818185
0.05	20	19	Low WGD	MEDICC2	0.0455286957250885
0.05	20	19	No WGD	MEDALT	0.683256884205921
0.05	20	19	No WGD	Euclidean Min. Ev.	0.157558645904846
0.05	20	19	No WGD	Euclidean NJ	0.190692275039741
0.05	20	19	No WGD	Hamming Min. Ev.	0.157558645904846
0.05	20	19	No WGD	Hamming NJ	0.076825812031515
0.05	20	19	No WGD	MEDICC2	0.0623534357430852
0.05	20	20	High WGD	MEDALT	0.362114271509028
0.05	20	20	High WGD	Euclidean Min. Ev.	0.0735941941254227
0.05	20	20	High WGD	Euclidean NJ	0.176254712481938
0.05	20	20	High WGD	Hamming Min. Ev.	0.0735941941254227
0.05	20	20	High WGD	Hamming NJ	0.0588799820030089
0.05	20	20	High WGD	MEDICC2	0.0919530999093071
0.05	20	20	Low WGD	MEDALT	0.740965430557394
0.05	20	20	Low WGD	Euclidean Min. Ev.	0.103213160567108
0.05	20	20	Low WGD	Euclidean NJ	0.103213160567108
0.05	20	20	Low WGD	Hamming Min. Ev.	0.103213160567108
0.05	20	20	Low WGD	Hamming NJ	0.0653873767951467
0.05	20	20	Low WGD	MEDICC2	0.0712883953566228
0.05	20	20	No WGD	MEDALT	0.675269730667949
0.05	20	20	No WGD	Euclidean Min. Ev.	0.0315673412622041
0.05	20	20	No WGD	Euclidean NJ	0.0315673412622041
0.05	20	20	No WGD	Hamming Min. Ev.	0.0315673412622041
0.05	20	20	No WGD	Hamming NJ	0.0525715576793837
0.05	20	20	No WGD	MEDICC2	0.0315673412622041
0.05	20	21	High WGD	MEDALT	0.830924900778916
0.05	20	21	High WGD	Euclidean Min. Ev.	0.172643190478942
0.05	20	21	High WGD	Euclidean NJ	0.12821986090315
0.05	20	21	High WGD	Hamming Min. Ev.	0.172643190478942
0.05	20	21	High WGD	Hamming NJ	0.0410465011268165
0.05	20	21	High WGD	MEDICC2	0.0777488396579703
0.05	20	21	Low WGD	MEDALT	0.822045156958129
0.05	20	21	Low WGD	Euclidean Min. Ev.	0.114938140529479
0.05	20	21	Low WGD	Euclidean NJ	0.114938140529479
0.05	20	21	Low WGD	Hamming Min. Ev.	0.114938140529479
0.05	20	21	Low WGD	Hamming NJ	0.141369847756289
0.05	20	21	Low WGD	MEDICC2	0.0686766350347026
0.05	20	21	No WGD	MEDALT	0.831240912187057
0.05	20	21	No WGD	Euclidean Min. Ev.	0.0868867986913559
0.05	20	21	No WGD	Euclidean NJ	0.134078039879512
0.05	20	21	No WGD	Hamming Min. Ev.	0.0868867986913559
0.05	20	21	No WGD	Hamming NJ	0.209351059173254
0.05	20	21	No WGD	MEDICC2	0.103484446881472
0.05	20	22	High WGD	MEDALT	0.531956580875911
0.05	20	22	High WGD	Euclidean Min. Ev.	0.202985047443048
0.05	20	22	High WGD	Euclidean NJ	0.202985047443048
0.05	20	22	High WGD	Hamming Min. Ev.	0.202985047443048
0.05	20	22	High WGD	Hamming NJ	0.19059615223823
0.05	20	22	High WGD	MEDICC2	0.0752724101978299
0.05	20	22	Low WGD	MEDALT	0.807394005453698
0.05	20	22	Low WGD	Euclidean Min. Ev.	0.146957027572767
0.05	20	22	Low WGD	Euclidean NJ	0.146957027572767
0.05	20	22	Low WGD	Hamming Min. Ev.	0.146957027572767
0.05	20	22	Low WGD	Hamming NJ	0.0492658051686459
0.05	20	22	Low WGD	MEDICC2	0.0296096263157278
0.05	20	22	No WGD	MEDALT	0.712360466642731
0.05	20	22	No WGD	Euclidean Min. Ev.	0.125895477635029
0.05	20	22	No WGD	Euclidean NJ	0.0859094018882249
0.05	20	22	No WGD	Hamming Min. Ev.	0.125895477635029
0.05	20	22	No WGD	Hamming NJ	0.163886352717617
0.05	20	22	No WGD	MEDICC2	0.0303910180086074
0.05	20	23	High WGD	MEDALT	0.70532783259443
0.05	20	23	High WGD	Euclidean Min. Ev.	0.185353962088006
0.05	20	23	High WGD	Euclidean NJ	0.185353962088006
0.05	20	23	High WGD	Hamming Min. Ev.	0.185353962088006
0.05	20	23	High WGD	Hamming NJ	0.165912373376543
0.05	20	23	High WGD	MEDICC2	0.0890844234612189
0.05	20	23	Low WGD	MEDALT	0.700085844962216
0.05	20	23	Low WGD	Euclidean Min. Ev.	0.203585484931182
0.05	20	23	Low WGD	Euclidean NJ	0.203585484931182
0.05	20	23	Low WGD	Hamming Min. Ev.	0.203585484931182
0.05	20	23	Low WGD	Hamming NJ	0.0608171969645249
0.05	20	23	Low WGD	MEDICC2	0.0608171969645249
0.05	20	23	No WGD	MEDALT	0.675819817074018
0.05	20	23	No WGD	Euclidean Min. Ev.	0.176572768383877
0.05	20	23	No WGD	Euclidean NJ	0.176572768383877
0.05	20	23	No WGD	Hamming Min. Ev.	0.176572768383877
0.05	20	23	No WGD	Hamming NJ	0.13778653927823
0.05	20	23	No WGD	MEDICC2	0.123755687780798
0.05	20	24	High WGD	MEDALT	0.834481749750406
0.05	20	24	High WGD	Euclidean Min. Ev.	0.275310739491086
0.05	20	24	High WGD	Euclidean NJ	0.275310739491086
0.05	20	24	High WGD	Hamming Min. Ev.	0.275310739491086
0.05	20	24	High WGD	Hamming NJ	0.169633662491755
0.05	20	24	High WGD	MEDICC2	0.0307272221658285
0.05	20	24	Low WGD	MEDALT	0.760026213393028
0.05	20	24	Low WGD	Euclidean Min. Ev.	0.243949920777005
0.05	20	24	Low WGD	Euclidean NJ	0.267285660807934
0.05	20	24	Low WGD	Hamming Min. Ev.	0.243949920777005
0.05	20	24	Low WGD	Hamming NJ	0.156551397681155
0.05	20	24	Low WGD	MEDICC2	0.0324159336231195
0.05	20	24	No WGD	MEDALT	0.869875581059471
0.05	20	24	No WGD	Euclidean Min. Ev.	0.0452669976800854
0.05	20	24	No WGD	Euclidean NJ	0.0853106161474814
0.05	20	24	No WGD	Hamming Min. Ev.	0.0452669976800854
0.05	20	24	No WGD	Hamming NJ	0.056763402894249
0.05	20	24	No WGD	MEDICC2	0.082837799671887
0.075	5	0	High WGD	MEDALT	1.0
0.075	5	0	High WGD	Euclidean Min. Ev.	0.323732119916531
0.075	5	0	High WGD	Euclidean NJ	0.323732119916531
0.075	5	0	High WGD	Hamming Min. Ev.	0.323732119916531
0.075	5	0	High WGD	Hamming NJ	0.308181620264318
0.075	5	0	High WGD	MEDICC2	0.0
0.075	5	0	Low WGD	MEDALT	1.0
0.075	5	0	Low WGD	Euclidean Min. Ev.	0.343074842208707
0.075	5	0	Low WGD	Euclidean NJ	0.343074842208707
0.075	5	0	Low WGD	Hamming Min. Ev.	0.343074842208707
0.075	5	0	Low WGD	Hamming NJ	0.343074842208707
0.075	5	0	Low WGD	MEDICC2	0.0
0.075	5	0	No WGD	MEDALT	1.0
0.075	5	0	No WGD	Euclidean Min. Ev.	0.0
0.075	5	0	No WGD	Euclidean NJ	0.0
0.075	5	0	No WGD	Hamming Min. Ev.	0.0
0.075	5	0	No WGD	Hamming NJ	0.308181620264318
0.075	5	0	No WGD	MEDICC2	0.0
0.075	5	1	High WGD	MEDALT	1.0
0.075	5	1	High WGD	Euclidean Min. Ev.	0.0
0.075	5	1	High WGD	Euclidean NJ	0.0
0.075	5	1	High WGD	Hamming Min. Ev.	0.0
0.075	5	1	High WGD	Hamming NJ	0.0
0.075	5	1	High WGD	MEDICC2	0.0
0.075	5	1	Low WGD	MEDALT	0.496393634439739
0.075	5	1	Low WGD	Euclidean Min. Ev.	0.0
0.075	5	1	Low WGD	Euclidean NJ	0.0
0.075	5	1	Low WGD	Hamming Min. Ev.	0.0
0.075	5	1	Low WGD	Hamming NJ	0.308181620264318
0.075	5	1	Low WGD	MEDICC2	0.0
0.075	5	1	No WGD	MEDALT	1.0
0.075	5	1	No WGD	Euclidean Min. Ev.	0.0
0.075	5	1	No WGD	Euclidean NJ	0.0
0.075	5	1	No WGD	Hamming Min. Ev.	0.0
0.075	5	1	No WGD	Hamming NJ	0.0
0.075	5	1	No WGD	MEDICC2	0.0
0.075	5	2	High WGD	MEDALT	1.0
0.075	5	2	High WGD	Euclidean Min. Ev.	0.343074842208707
0.075	5	2	High WGD	Euclidean NJ	0.343074842208707
0.075	5	2	High WGD	Hamming Min. Ev.	0.343074842208707
0.075	5	2	High WGD	Hamming NJ	0.343074842208707
0.075	5	2	High WGD	MEDICC2	0.0
0.075	5	2	Low WGD	MEDALT	1.0
0.075	5	2	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.075	5	2	Low WGD	Euclidean NJ	0.308181620264318
0.075	5	2	Low WGD	Hamming Min. Ev.	0.308181620264318
0.075	5	2	Low WGD	Hamming NJ	0.308181620264318
0.075	5	2	Low WGD	MEDICC2	0.0
0.075	5	2	No WGD	MEDALT	0.799086165364304
